,Cal_yrs_BP,Poaceae,Site,Myrtaceae,Arecaceae,Triumfetta,Asteroideae,Acalypha,Coprosma,Rubiaceae,Macaranga,Polygonum,Euphorbia,Pteris,Lycopodium,Potamogeton,Cyperus,Ophioglossum,Sophora,Cyperaceae,Euphorbiaceae,Malvaceae,Celtis,Casuarina,Freycinetia,Homalanthus,Phyllanthus,Amaranthaceae,Microsorum,Plantago,Psychotria,Hypolepis,Cyathea,Pinus,Meryta,Histiopteris incisa,Sonchus,Veronica,Haloragaceae,Pandanus tectorius,Ludwigia,Pandanus,Trema,Elaeocarpus,Fabaceae,Asteraceae,Apiaceae,Sapotaceae,Melastomataceae,Solanaceae,Dysoxylum,Araceae,Araliaceae,Apocynaceae,Sapindaceae,Myrsine,Cyatheaceae,Araucaria,Selaginella,Ascarina lucida,Rumex,Weinmannia,Calophyllum,Excoecaria,Alphitonia,Elattostachys,Gardenia,Hibiscus,Ipomoea,Alternanthera,Urticaceae,Pittosporum,Calycosia,Astelia,Antirhea,Neonauclea,Pisonia,Moraceae,Terminalia,Barringtonia,Rhizophora,Brassicaceae,Colocasia,Canarium,Jasminum,Mussaenda,Cocos,Loranthaceae,Rhus,Glochidion,Syzygium,Acrostichum,Rhamnaceae,Anacardiaceae,Bischofia,Homalium,Polypodium,Rhizophoraceae,Vitaceae,Ficus,Malpighiaceae,Phyllanthaceae,Ixora,Geniostoma,Typha,Planchonella,Mallotus,Schefflera,Maesa,Nymphoides,Podocarpaceae,Cocos nucifera,Pinaceae,Premna,Cichorioideae,Hymenophyllaceae,Caryophyllaceae,Rutaceae,Podocarpus,Dodonaea,Meliaceae,Proteaceae,Polypodiaceae,Pandanaceae,Caprifoliaceae,Lecythidaceae,Metroxylon,Nymphoides indica,Ranunculaceae,Agathis,Dacrydium,Casuarinaceae,Polyscias,Melicope,Ilex,Cunoniaceae,Metrosideros,Ascarina,Quintinia,Epacrideae,Garcinia,Dicksonia,Eleocharis,Haloragis,Blechnum,Arytera,Baccaurea,Commersonia,Dicranopteris,Dillenia,Dolicholobium,Embelia,Endospermum,Euodia,Fagraea,Guioa,Heritiera,Hymenophyllum,Leea,Lygodium,Myristica,Ophiorrhiza,Palaquium,Parinari,Plerandra,Rosaceae,Scaevola,Symplocos,Tapeinosperma,Thelypteris,Turrillia,Liliaceae,Piper,Pteridium,Dilleniaceae,Simaroubaceae,Myriophyllum,Nothofagus,Pteridium esculentum,Melastoma,Hibbertia,Nepenthes,Verbenaceae,Acanthaceae,Codia,Goodeniaceae,Melaleuca,Avicennia,Plicosepalus,Restionaceae,Santalaceae,Symplocaceae,Thymelaeaceae,Argophyllaceae,Bignoniaceae,Callitris,Cardiopteridaceae,Cerberiopsis,Clusiaceae,Corynocarpus,Ericaceae,Escalloniaceae,Flagellaria,Gesneriaceae,Joinvillea,Lamiaceae,Lindsaeaceae,Loganiaceae,Longetia,Monimiaceae,Primulaceae,Psidium guajava,Rauvolfia,Salicaceae,Sloanea,Acacia,Cuphea,Decaspermum,Elaeocarpaceae,Gymnostoma,Lauraceae,Lycopodiella,Machaerina,Schoenus,Xanthomyrtus,Agathis australis,Anthoceros,Apium prostratum,Aristotelia,Aspleniaceae,Bryosporis problematicus,Callitriche,Calystegia,Carex,Cordyline,Coriaria,Dacrycarpus dacrydioides,Dacrydium cupressinum,Geranium,Hemionitis,Huperzia varia,Juncus,Knightia,Laurelia,Leptospermum,Libocedrus,Lycopodiella lateralis,Lycopodium scariosum,Melicytus,Muehlenbeckia,Myoporum,Neopanax arboreus,Nestegis,Olearia colensoi,Oxalis,Paesia,Parsonsia,Pectinopitys ferruginea,Phormium,Phyllocladus,Prumnopitys taxifolia,Psilotum,Pteris tremula,Pyrrosia,Ranunculus,Rhopalostylis sapida,Schizaea,Selaginella kraussiana,Sigesbeckia orientalis,Solanum,Trifolium,Typha orientalis,Ulex europaeus,Vitex lucens,Achyranthes,Dacrycarpus,Olacaceae,Portulacaceae,Annonaceae,Cupaniopsis,Exocarpos,Lycopodiaceae,Metroxylon vitiense,Acronychia,Aleurites,Ardisia,Balanops,Claoxylon,Clematis,Gonocarpus,Lepironia,Medinilla,Melochia,Neuburgia,Pemphis,Phaleria,Polygala,Pteridaceae,Randia,Rubus,Saurauia,Streblus,Timonius,Ulmaceae,Combretaceae,Onagraceae,Asplenium,Blyxa,Cyathula,Diospyros,Gymnosporia,Lepisorus,Leucas,Orchidaceae,Phytolaccaceae,Stachytarpheta,Tournefortia,Typha latifolia,Momordica,Morinda,Stenochlaena palustris,Burseraceae,Dracaena,Grewia,Hedycarya,Oleaceae,Polygonaceae,Stenochlaena,Amaranthus,Anacolosa,Canavalia,Cardiospermum,Cyrtandra,Desmodium,Dianella,Erythrina,Fimbristylis,Flagellariaceae,Garuga,Guettarda,Hernandia,Maytenus,Salacia,Urena,Vigna,Alyxia,Antidesma,Decaisnina forsteriana,Gunneraceae,Colocasia esculenta,Commelina,Convolvulaceae,Cyclophyllum barbatum,Dicranopteris linearis,Dodonaea viscosa,Erythrina variegata,Lycopodiella cernua,Marattiaceae,Myoporum rapense,Pteris berteroana,Scaevola taccada,Sophora tomentosa,Apium,Plantago lanceolata,Scirpus,Typha angustifolia
1,-59,230,Waitetoke,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,11,1,20,1,3,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47,55,Avai'o'vuna Swamp,1,4,0,0,0,0,0,60,2,0,0,0,0,0,0,0,490,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,2,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,3,3,0,1,7,3,0,0,0,0,0,1,2,1,0,0,0,3,0,2,0,82,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,1,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-34,6,Bonatoa Bog,4,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,44,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1,0,1,2,0,0,4,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-32,27,Tukou Marsh,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,30,2,0,1,0,0,0,0,0,0
5,-26,157,Waitetoke,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-13,39,Tukou Marsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,1,0,0,3,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,155,0,0,2,2,0,3,0,0,0,0,0,0
7,0,0,Volivoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,Yacata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,77,Waitetoke,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,14,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4,0,3,1,1,3,22,0,6,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,4,0,1,0,2,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,73,Tukou Marsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0,0,0,0,0,1,0,1,0,0,2,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,7,0,0,5,0,0,0,0,0,0
