Cal_yrs_BP,Acalypha comp.,Compositae Tubuliflorae,Coprosma,Cyperaceae Cyperus comp.,Cyperaceae Scirpus comp.,Euphorbia comp. Seprns sim.,Filices- monolete psilate,Filices- monolete verrucate/ oreolate,Filices- trilete psilate,Filices- trilete verrucate,Gramineae,Lycopodium- foveolate,Macaranga comp.,Myrtaceae undiff.,Ophioglossum,Palmae,Plantago id lanceolata comp.,Polygonum,Potamogeton,Pteris,Rubiaceae,Sophora,Triumfetta,Typha angustifolia sim.,Umbelliferae comp./ Apium sim.,Unknown
214,0,1.689,0,33.446,73.986,0,10.135,0,0,0,74.662,0,0,7.095,0,0,0,9.459,0,0,0,0,2.027,0,0,0
291,0,17.905,1.351,48.986,14.189,0,23.986,0,0,0,45.27,0,0,0,0,2.027,0,2.365,0,0,0,0,0,0,0,0
554,0,7.432,0,0,72.973,0,31.419,1.351,0,0,48.649,0,0,2.365,0,1.351,0,1.351,0,0,0,0,0,0,0,0
838,0,6.419,0,0,72.973,0,38.851,2.365,0,0,43.581,0,0,0,0,6.081,1.014,0,0,0,0,0,0,0,0,0
1163,0,3.041,0,36.149,29.392,0,13.176,2.365,0,0,37.162,0,1.351,0,0,1.351,0,1.689,0,2.365,0,0,0,0,0,0
1460,0,8.108,0,0,68.243,0,32.095,2.027,0,0,42.568,0,0,0,0,7.432,0,1.433,0,0,0,0,0,0,0,0
1770,0,0,0,0,18.246,0,21.284,0,0,0,69.257,0,0,0,0,2.703,0,2.027,0,0,0,0,1.014,0,0,2.365
2428,0,0,0,0,17.568,0,79.392,2.365,0,0,10.811,0,0,0,0,3.041,0,1.014,0,1.351,0,0,0,0,0,1.689
2875,0,0,0,0,37.162,0,29.73,0,0,0,58.446,0,0,0,0,7.77,0,4.392,0,1.689,0,0,0,0,0,0
3350,0,6.419,0,0,47.635,0,62.838,2.027,0,0,14.527,0,0,0,0,7.095,0,1.351,0,0,0,0.676,0,0,0,0
4556,0,12.838,0,0,6.419,0,1.351,1.351,0,0,73.649,0,0,0,0,1.351,0,0,0,0,0,1.689,0,0,0,1.689
5355,1.351,8.784,0,0,12.838,0,1.351,0,0,0,68.243,1.451,1.689,0,0,10.135,0,0,0,3.041,0,0,0,0,0,0
6235,0,26.689,0,0,68.243,0,10.135,0,0,0,4.73,0,0,0,0,51.351,0,0,0,0,0,0,0,0,0,1.689
6854,1.689,4.054,0,0,4.73,0,8.108,1.689,0,3.716,61.149,0,0,0,0,16.216,0,0,0,0,0,0,0,0,0,0
7068,0,1.351,1.689,13.514,17.23,0,35.811,0,0,0,21.622,0,0,0,0,14.865,0,0,0,2.703,0,0,0,0,0,0
7393,0,16.892,0.676,0,6.757,0,43.243,1.351,0,0,32.432,0,0,0,0,2.365,0,0,0,0,0,1.351,0,0,0,0
8010,0,4.73,0,0,12.162,0,42.568,2.027,0,0,27.027,0,0,0,1.689,14.865,0,0,0,0,0,0,0,0,0,0
8388,0,58.446,0,0,18.919,0,16.216,0,0,0,13.851,0,0,0,0,2.027,0,0,0,0,0,0,0,0,0,4.392
8855,0,2.027,1.351,0,1.351,0,92.23,2.027,0,0,2.027,0,0,0,0,2.365,0,0,0,0,0,0,0,0,0,0
9309,1.014,25.676,0,0,4.73,0,3.716,0,0,0,51.689,0,0,0,0,2.027,0,0,0,0,0,0,0,0,0,8.446
10012,0,25,8.784,0,10.135,0,4.73,0,0,0,49.324,0,2.027,0,0,2.027,0,0,0,4.054,0,0,0,0,0,2.365
10384,0,6.419,1.014,4.054,10.473,0,69.257,0,0,0,10.473,0,5.068,0,0,3.716,0,0,0,0,0,0,0,0,0,0
11262,0,36.824,1.351,0,90.203,0,27.365,0,0,0,20.608,0,1.014,0,0,4.054,0,0,0,0,0,0,0,0,0,2.703
11637,0,6.419,2.703,0,64.865,0,8.784,0,0,0,59.797,0,0,0,0,11.149,0,0,0,2.365,0,1.689,0,0,0,0
12335,0,19.932,0,0,66.216,0,13.514,1.689,0,0,35.473,0,0,0,0,24.324,0,0,55.405,2.703,0,0,0,0,0,0
13318,0,3.378,2.027,0,65.878,0,67.568,0,0,0,16.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.689
15628,0,2.027,6.757,0,63.514,0,28.378,0,0,0,49.324,0,0,0,0,6.419,0,0,0,0,0,0,0,0,0,0
