"","Cal_yrs_BP","min","max","Anacardiaceae","Apocynaceae","Araliaceae","Bignoniaceae","Cunoniaceae","Dilleniaceae","Elaeocarpus?","Flacourtiaceae","Glochidion","Meliaceae","Myrsineaceae","Myrtaceae","Palms","Proteaceae","Rhamnaceae","Rosaceae","Rubiaceae","Rubiaceae 3c loose weave","Rutaceae","Sapindaceae","Sapotaceae","Tiliaceae?","Type xxiii Simaroubaceae","Agathis","Arytera </i>Type","Ascarina","Bischofia","Calophyllum ?","Canavalia</i> Type","Hedycarya</i> Type","Ilex","Inocarpus </i>3C?","Medusanthera T?","Podocarpus","Psychotria","Psychotria Type 1","Psychotria Type 2","Rapanea","Smilax?","Terminalia</i> Type?","Zeridium Type","3cp 25-30um Araliaceae?","3cp zonorate","Dodonea","Euphorbiaceae","Gardenia","Other Malvaceae","Piperaceae","Austrobuxus </i>Type","Casuarina","Ixora?","Macaranga/Mallotus","Mallotus","Neonauclea</i> Type?","Trema/Moraceae/Celtis","Amaranthaceae","Asteraceae","Brassicaceae Type","Caryophyllaceae","Chenopodiaceae","Alternanthera","gemmate monolete","Marattiaceae","Polypodiaceae","Spikey Trilete","Treeferns","Triletes Other","Hypolepis","Apiaceae","Cucurbitaceae","Legumes","Poaceae","Poaceae &gt;70 um","Portulaceae","Ranunculaceae","Violaceae Type","Acryanthes","Lonicera</i> Type?","Nertera</i> Type","Plantago","Monolete Other","Monolete Psilate","NCSS32 Type","Blechnum","Lycopodium","Pteridium","Selaginella","Rhizophoraceae","Barringtoniaceae","Cyperaceae","Haloragaceae","Melastomataceae","Homalanthus/Exocaria","Metroxylon","Nymphoides indica","Pandandus tectorius","Pandanus</i> Type","Typha","Damaged/Crumpled","Indeterminate 3C3P","Indeterminate Other","Type 4","Type 6","Type x","Type xvi","Type xxi","Onagraceae"
"1",-37,-50,-12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,25,0,0,8,0,38,0,0,0,51,29,0,0,1,0,1,0,1,0,1,6,0,0,0,0,38,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,28,2,0,4,0,0,10,0,0,22,20,2,0,0,0,0,0,143
"2",335,139,578,0,0,0,0,0,0,0,0,0,1,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,0,4,0,4,0,0,120,0,0,0,0,26,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,1,18,0,0,12,0,6,29,0,0,23,14,0,0,0,0,0,0,5
"3",593,334,873,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,0,3,0,0,2,0,6,0,0,1,2,5,0,8,0,4,85,0,0,0,0,61,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,10,0,0,0,0,9,50,0,0,19,17,2,11,0,0,0,0,0
"4",728,451,1019,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,5,0,0,1,0,2,0,3,0,0,35,0,0,0,0,175,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,4,0,0,8,0,12,29,0,0,0,4,0,19,0,0,0,0,0
"5",858,570,1147,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,3,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,19,0,0,0,0,217,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,41,0,10,20,0,0,2,6,0,7,0,0,0,0,0
"6",987,688,1281,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,1,0,0,1,0,0,0,3,0,0,70,0,0,0,0,112,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,96,0,13,7,0,0,1,4,2,5,0,0,0,0,0
"7",1116,820,1403,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,3,0,3,0,0,1,0,1,0,0,0,0,0,0,4,0,0,45,0,0,0,0,146,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,89,0,0,2,0,0,0,7,0,14,0,0,0,0,0
"8",1245,948,1523,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,3,0,0,0,0,2,0,0,1,0,0,0,10,0,0,23,0,0,0,0,95,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,66,1,0,1,0,0,1,8,0,36,0,0,0,0,0
"9",1371,1079,1641,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,85,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,36,0,0,35,0,0,12,0,0,18,63,0,11,0,0,0,0,0
"10",1498,1215,1754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,0,61,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,4,0,12,0,0,0,0,0
